# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-02-08 12:37:23 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15087700 INDIAN R AT SITKA AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15087700
#            TS   parameter     Description
#          1343       00065     Gage height, feet
#          1344       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd   site_no datetime    tz_cd   1343_00065  1343_00065_cd   1344_00060  1344_00060_cd
USGS    15087700    2019-10-02 01:45    AKDT    21.46   A   165 A
USGS    15087700    2019-10-02 02:00    AKDT    21.46   A   165 A
USGS    15087700    2019-10-02 02:15    AKDT    21.44   A   160 A
USGS    15087700    2019-10-02 02:30    AKDT    21.45   A   162 A
USGS    15087700    2019-10-02 02:45    AKDT    21.43   A   158 A
USGS    15087700    2019-10-02 03:00    AKDT    21.43   A   158 A
USGS    15087700    2019-10-02 03:15    AKDT    21.43   A   158 A
USGS    15087700    2019-10-02 03:30    AKDT    21.43   A   158 A
USGS    15087700    2019-10-02 03:45    AKDT    21.42   A   155 A
USGS    15087700    2019-10-02 04:00    AKDT    21.42   A   155 A
USGS    15087700    2019-10-02 04:15    AKDT    21.41   A   153 A
USGS    15087700    2019-10-02 04:30    AKDT    21.40   A   151 A
USGS    15087700    2019-10-02 04:45    AKDT    21.41   A   153 A
USGS    15087700    2019-10-02 05:00    AKDT    21.40   A   151 A
USGS    15087700    2019-10-02 05:15    AKDT    21.40   A   151 A
USGS    15087700    2019-10-02 05:30    AKDT    21.39   A   149 A
USGS    15087700    2019-10-02 05:45    AKDT    21.39   A   149 A
USGS    15087700    2019-10-02 06:00    AKDT    21.38   A   147 A
USGS    15087700    2019-10-02 06:15    AKDT    21.38   A   147 A
USGS    15087700    2019-10-02 06:30    AKDT    21.38   A   147 A
USGS    15087700    2019-10-02 06:45    AKDT    21.38   A   147 A
USGS    15087700    2019-10-02 07:00    AKDT    21.37   A   144 A
USGS    15087700    2019-10-02 07:15    AKDT    21.36   A   142 A
USGS    15087700    2019-10-02 07:30    AKDT    21.37   A   144 A
USGS    15087700    2019-10-02 07:45    AKDT    21.37   A   144 A
USGS    15087700    2019-10-02 08:00    AKDT    21.36   A   142 A
USGS    15087700    2019-10-02 08:15    AKDT    21.36   A   142 A
USGS    15087700    2019-10-02 08:30    AKDT    21.35   A   140 A
USGS    15087700    2019-10-02 08:45    AKDT    21.35   A   140 A
USGS    15087700    2019-10-02 09:00    AKDT    21.35   A   140 A
USGS    15087700    2019-10-02 09:15    AKDT    21.35   A   140 A
USGS    15087700    2019-10-02 09:30    AKDT    21.34   A   138 A
USGS    15087700    2019-10-02 09:45    AKDT    21.34   A   138 A
USGS    15087700    2019-10-02 10:00    AKDT    21.34   A   138 A
USGS    15087700    2019-10-02 10:15    AKDT    21.34   A   138 A
USGS    15087700    2019-10-02 10:30    AKDT    21.33   A   136 A
USGS    15087700    2019-10-02 10:45    AKDT    21.32   A   134 A
USGS    15087700    2019-10-02 11:00    AKDT    21.32   A   134 A
USGS    15087700    2019-10-02 11:15    AKDT    21.33   A   136 A
USGS    15087700    2019-10-02 11:30    AKDT    21.31   A   132 A
USGS    15087700    2019-10-02 11:45    AKDT    21.31   A   132 A
USGS    15087700    2019-10-02 12:00    AKDT    21.32   A   134 A
USGS    15087700    2019-10-02 12:15    AKDT    21.31   A   132 A
USGS    15087700    2019-10-02 12:30    AKDT    21.31   A   132 A
USGS    15087700    2019-10-02 12:45    AKDT    21.31   A   132 A
USGS    15087700    2019-10-02 13:00    AKDT    21.30   A   130 A
USGS    15087700    2019-10-02 13:15    AKDT    21.30   A   130 A
USGS    15087700    2019-10-02 13:30    AKDT    21.30   A   130 A
USGS    15087700    2019-10-02 13:45    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 14:00    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 14:15    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 14:30    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 14:45    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 15:00    AKDT    21.28   A   126 A
USGS    15087700    2019-10-02 15:15    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 15:30    AKDT    21.28   A   126 A
USGS    15087700    2019-10-02 15:45    AKDT    21.29   A   128 A
USGS    15087700    2019-10-02 16:00    AKDT    21.28   A   126 A
USGS    15087700    2019-10-02 16:15    AKDT    21.27   A   124 A
USGS    15087700    2019-10-02 16:30    AKDT    21.27   A   124 A
USGS    15087700    2019-10-02 16:45    AKDT    21.27   A   124 A
USGS    15087700    2019-10-02 17:00    AKDT    21.28   A   126 A
USGS    15087700    2019-10-02 17:15    AKDT    21.27   A   124 A
USGS    15087700    2019-10-02 17:30    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 17:45    AKDT    21.27   A   124 A
USGS    15087700    2019-10-02 18:00    AKDT    21.27   A   124 A
USGS    15087700    2019-10-02 18:15    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 18:30    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 18:45    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 19:00    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 19:15    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 19:30    AKDT    21.26   A   122 A
USGS    15087700    2019-10-02 19:45    AKDT    21.25   A   120 A
USGS    15087700    2019-10-02 20:00    AKDT    21.25   A   120 A
USGS    15087700    2019-10-02 20:15    AKDT    21.25   A   120 A
USGS    15087700    2019-10-02 20:30    AKDT    21.25   A   120 A
USGS    15087700    2019-10-02 20:45    AKDT    21.25   A   120 A
USGS    15087700    2019-10-02 21:00    AKDT    21.24   A   118 A
USGS    15087700    2019-10-02 21:15    AKDT    21.24   A   118 A
USGS    15087700    2019-10-02 21:30    AKDT    21.24   A   118 A
USGS    15087700    2019-10-02 21:45    AKDT    21.24   A   118 A
USGS    15087700    2019-10-02 22:00    AKDT    21.23   A   116 A
USGS    15087700    2019-10-02 22:15    AKDT    21.24   A   118 A
USGS    15087700    2019-10-02 22:30    AKDT    21.24   A   118 A
USGS    15087700    2019-10-02 22:45    AKDT    21.22   A   113 A
USGS    15087700    2019-10-02 23:00    AKDT    21.22   A   113 A
USGS    15087700    2019-10-02 23:15    AKDT    21.23   A   116 A
USGS    15087700    2019-10-02 23:30    AKDT    21.22   A   113 A
USGS    15087700    2019-10-02 23:45    AKDT    21.22   A   113 A
USGS    15087700    2019-10-03 00:00    AKDT    21.22   A   113 A
USGS    15087700    2019-10-03 00:15    AKDT    21.22   A   113 A
USGS    15087700    2019-10-03 00:30    AKDT    21.21   A   111 A
USGS    15087700    2019-10-03 00:45    AKDT    21.22   A   113 A
USGS    15087700    2019-10-03 01:00    AKDT    21.22   A   113 A
USGS    15087700    2019-10-03 01:15    AKDT    21.21   A   111 A
USGS    15087700    2019-10-03 01:30    AKDT    21.22   A   113 A
USGS    15087700    2019-10-03 01:45    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 02:00    AKDT    21.21   A   111 A
USGS    15087700    2019-10-03 02:15    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 02:30    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 02:45    AKDT    21.21   A   111 A
USGS    15087700    2019-10-03 03:00    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 03:15    AKDT    21.19   A   107 A
USGS    15087700    2019-10-03 03:30    AKDT    21.19   A   107 A
USGS    15087700    2019-10-03 03:45    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 04:00    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 04:15    AKDT    21.20   A   109 A
USGS    15087700    2019-10-03 04:30    AKDT    21.19   A   107 A
USGS    15087700    2019-10-03 04:45    AKDT    21.19   A   107 A
USGS    15087700    2019-10-03 05:00    AKDT    21.19   A   107 A
USGS    15087700    2019-10-03 05:15    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 05:30    AKDT    21.19   A   107 A
USGS    15087700    2019-10-03 05:45    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 06:00    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 06:15    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 06:30    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 06:45    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 07:00    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 07:15    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 07:30    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 07:45    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 08:00    AKDT    21.18   A   106 A
USGS    15087700    2019-10-03 08:15    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 08:30    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 08:45    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 09:00    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 09:15    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 09:30    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 09:45    AKDT    21.17   A   104 A
USGS    15087700    2019-10-03 10:00    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 10:15    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 10:30    AKDT    21.15   A   99.9    A
USGS    15087700    2019-10-03 10:45    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 11:00    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 11:15    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 11:30    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 11:45    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 12:00    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 12:15    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 12:30    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 12:45    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 13:00    AKDT    21.16   A   102 A
USGS    15087700    2019-10-03 13:15    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 13:30    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 13:45    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 14:00    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 14:15    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 14:30    AKDT    21.15   A   99.8    A
USGS    15087700    2019-10-03 14:45    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 15:00    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 15:15    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 15:30    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 15:45    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 16:00    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 16:15    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 16:30    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 16:45    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 17:00    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 17:15    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 17:30    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 17:45    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 18:00    AKDT    21.14   A   98.0    A
USGS    15087700    2019-10-03 18:15    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 18:30    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 18:45    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 19:00    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 19:15    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 19:30    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 19:45    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 20:00    AKDT    21.13   A   96.2    A
USGS    15087700    2019-10-03 20:15    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 20:30    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 20:45    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 21:00    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 21:15    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 21:30    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 21:45    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 22:00    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-03 22:15    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 22:30    AKDT    21.12   A   94.4    A
USGS    15087700    2019-10-03 22:45    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-03 23:00    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-03 23:15    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-03 23:30    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-03 23:45    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 00:00    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 00:15    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 00:30    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 00:45    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 01:00    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 01:15    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 01:30    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 01:45    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 02:00    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 02:15    AKDT    21.11   A   92.6    A
USGS    15087700    2019-10-04 02:30    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 02:45    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 03:00    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 03:15    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 03:30    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 03:45    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 04:00    AKDT    21.10   A   90.8    A
USGS    15087700    2019-10-04 04:15    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 04:30    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 04:45    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 05:00    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 05:15    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 05:30    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 05:45    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 06:00    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 06:15    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 06:30    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 06:45    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 07:00    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 07:15    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 07:30    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 07:45    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 08:00    AKDT    21.09   A   89.1    A
USGS    15087700    2019-10-04 08:15    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 08:30    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 08:45    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 09:00    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 09:15    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 09:30    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 09:45    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 10:00    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 10:15    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 10:30    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 10:45    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 11:00    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 11:15    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 11:30    AKDT    21.08   A   87.4    A
USGS    15087700    2019-10-04 11:45    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 12:00    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 12:15    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 12:30    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 12:45    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 13:00    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 13:15    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 13:30    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 13:45    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 14:00    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 14:15    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 14:30    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 14:45    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 15:00    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 15:15    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 15:30    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 15:45    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 16:00    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 16:15    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 16:30    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 16:45    AKDT    21.07   A   85.7    A
USGS    15087700    2019-10-04 17:00    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 17:15    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 17:30    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 17:45    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 18:00    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 18:15    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 18:30    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 18:45    AKDT    21.05   A   82.4    A
USGS    15087700    2019-10-04 19:00    AKDT    21.06   A   84.0    A
USGS    15087700    2019-10-04 19:15    AKDT    21.05   A   82.4    A
USGS    15087700    2019-10-04 19:30    AKDT    21.05   A   82.4    A
USGS    15087700    2019-10-04 19:45    AKDT    21.05   A   82.4    A
USGS    15087700    2019-10-04 20:00    AKDT    21.05   A   82.4    A
USGS    15087700    2019-10-04 20:15    AKDT    21.05   A   82.4    A
USGS    15087700    2019-10-04 20:30    AKDT    21.05   A   82.4    A
